text;query
Glucose [Moles/volume] in Pleural fluid;bilirubin in plasma
Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;bilirubin in plasma
Cortisol [Mass/volume] in Serum or Plasma;bilirubin in plasma
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;bilirubin in plasma
Lymphocytes [#/volume] in Blood;bilirubin in plasma
Tyrosine aminotransferase [Mass/volume] in Plasma;bilirubin in plasma
Bilirubin.total [Mass/volume] in Synovial fluid;bilirubin in plasma
Gentamicin [Susceptibility];bilirubin in plasma
Lymphocytes/100 leukocytes in Blood;bilirubin in plasma
Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;bilirubin in plasma
Glucose [Moles/volume] in Serum or Plasma;bilirubin in plasma
Blood product type;bilirubin in plasma
Monocytes [#/volume] in Blood;bilirubin in plasma
Albumin [Mass/volume] in Serum or Plasma;bilirubin in plasma
Cobalamin (Vitamin B12) [Mass/volume] in Serum;bilirubin in plasma
Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;bilirubin in plasma
Glucose [Moles/volume] in Urine;bilirubin in plasma
Choriogonadotropin [Units/volume] in Serum or Plasma;bilirubin in plasma
Blood product disposition [Type];bilirubin in plasma
Levofloxacin [Susceptibility];bilirubin in plasma
Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma;bilirubin in plasma
Calcium [Moles/volume] corrected for albumin in Serum or Plasma;bilirubin in plasma
Fasting glucose [Mass or Moles/volume] in Serum or Plasma;bilirubin in plasma
Chloride [Moles/volume] in Blood;bilirubin in plasma
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Hematocrit [Volume Fraction] of Blood by Impedance;bilirubin in plasma
Amylase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Chloride [Moles/volume] in Serum or Plasma;bilirubin in plasma
Protein C [Mass/volume] in Plasma;bilirubin in plasma
Trimethoprim+Sulfamethoxazole [Susceptibility];bilirubin in plasma
Calcium bilirubinate/Total in Stone;bilirubin in plasma
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Cholesterol in HDL [Mass/volume] in Serum or Plasma;bilirubin in plasma
Calcium.ionized [Moles/volume] in Serum or Plasma;bilirubin in plasma
Bilirubin.total [Presence] in Unspecified specimen;bilirubin in plasma
C reactive protein [Mass/volume] in Serum or Plasma;bilirubin in plasma
Bilirubin.total [Presence] in Unspecified specimen;white blood cells count
Calcium [Moles/volume] corrected for albumin in Serum or Plasma;white blood cells count
Bilirubin.total [Mass/volume] in Synovial fluid;white blood cells count
Other Antibiotic [Susceptibility];white blood cells count
Vancomycin [Susceptibility];white blood cells count
Glucose [Moles/volume] in Serum or Plasma;white blood cells count
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
Cefazolin [Susceptibility];white blood cells count
Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;white blood cells count
Albumin [Mass/volume] in Serum or Plasma;white blood cells count
Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;white blood cells count
Glucose [Moles/volume] in Urine;white blood cells count
Fasting glucose [Mass or Moles/volume] in Serum or Plasma;white blood cells count
Cholesterol in HDL [Mass/volume] in Serum or Plasma;white blood cells count
Leukocytes [#/volume] in Blood;white blood cells count
Blood product disposition [Type];white blood cells count
Calcium.ionized [Moles/volume] in Blood;white blood cells count
Amylase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
Bicarbonate [Moles/volume] in Blood;white blood cells count
Bilirubin.total [Mass/volume] in Serum or Plasma;white blood cells count
Gentamicin [Susceptibility];white blood cells count
ABO group [Type] in Blood from Blood product unit;white blood cells count
Blood product unit ID [#];white blood cells count
Protein C [Mass/volume] in Plasma;white blood cells count
Chloride [Moles/volume] in Blood;white blood cells count
Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma;white blood cells count
Calcium [Mass/volume] in Serum or Plasma;white blood cells count
Chloride [Moles/volume] in Serum or Plasma;white blood cells count
Blood product type;white blood cells count
Cobalamin (Vitamin B12) [Mass/volume] in Serum;white blood cells count
Choriogonadotropin [Units/volume] in Serum or Plasma;white blood cells count
Lymphocytes/100 leukocytes in Blood;white blood cells count
Glucose [Moles/volume] in Pleural fluid;white blood cells count
Carbon dioxide;white blood cells count
Carbon dioxide;white blood cells count
Nitrofurantoin [Susceptibility];white blood cells count
Cholesterol [Mass/volume] in Serum or Plasma;white blood cells count
Trimethoprim+Sulfamethoxazole [Susceptibility];white blood cells count
Blood group antibody screen [Presence] in Serum or Plasma;white blood cells count
Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;white blood cells count
Cortisol [Mass/volume] in Serum or Plasma;white blood cells count
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;white blood cells count
Bilirubin.indirect [Mass/volume] in Serum or Plasma;white blood cells count
Ciprofloxacin [Susceptibility];white blood cells count
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
C reactive protein [Mass/volume] in Serum or Plasma;white blood cells count
Glucose [Mass/volume] in Serum;white blood cells count
Calcium.ionized [Moles/volume] in Serum or Plasma;white blood cells count
Albumin/Globulin [Mass ratio] in Serum or Plasma;white blood cells count
Levofloxacin [Susceptibility];white blood cells count
Bilirubin.direct [Mass/volume] in Serum or Plasma;white blood cells count
Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;white blood cells count
ABO group [Type] in Blood;white blood cells count
Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;white blood cells count
Calcium bilirubinate/Total in Stone;white blood cells count
Tyrosine aminotransferase [Mass/volume] in Plasma;white blood cells count
C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;white blood cells count
Rh [Type] in Blood;white blood cells count
Lymphocytes [#/volume] in Blood;white blood cells count
Body temperature;white blood cells count
Hematocrit [Volume Fraction] of Blood by Impedance;white blood cells count
ABO & Rh group [Type] in Blood;white blood cells count
Monocytes [#/volume] in Blood;white blood cells count
Major crossmatch [interpretation];white blood cells count
Ampicillin [Susceptibility];white blood cells count
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
Ampicillin+Sulbactam [Susceptibility];white blood cells count
Glucose [Presence] in Urine;glucose in urine
Glucose [Moles/volume] in Urine;glucose in urine
Glucose [Mass/volume] in Urine;glucose in urine
Glucose [Mass or Moles/volume] in Urine;glucose in urine
Glucose [Mass/volume] in Urine collected for unspecified duration;glucose in urine
Glucose [Mass/time] in 10 hour Urine;glucose in urine
Glucose [Mass/time] in 18 hour Urine;glucose in urine
Glucose [Mass/time] in 6 hour Urine;glucose in urine
Glucose [Presence] in 24 hour Urine;glucose in urine
Glucose [Moles/volume] in 12 hour Urine;glucose in urine
Glucose [Moles/volume] in Urine collected for unspecified duration;glucose in urine
Glucose [Moles/time] in 12 hour Urine;glucose in urine
Glucose [Mass/volume] in Urine --30 minutes post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --3 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --4 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --5 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --6 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in 24 hour Urine;glucose in urine
Glucose [Mass/time] in 24 hour Urine;glucose in urine
Glucose [Mass/time] in 8 hour Urine;glucose in urine
Glucose [Moles/volume] in 24 hour Urine;glucose in urine
Glucose [Moles/time] in 24 hour Urine;glucose in urine
Protein and Glucose panel - Urine by Test strip;glucose in urine
Glucose [Mass/volume] in Urine by Test strip;glucose in urine
Glucose [Presence] in Urine by Test strip;glucose in urine
Glucose [Moles/volume] in Urine by Test strip;glucose in urine
Glucose [Mass/volume] in Urine --1 hour post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --2.5 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --2 hours post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --3.5 hours post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --30 minutes post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --3 hours post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --4 hours post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --5 hours post dose glucose;glucose in urine
Fasting glucose [Presence] in Urine;glucose in urine
Deprecated Glucose [Mass/volume] in Urine by Test strip;glucose in urine
Glucose tetrasaccharide/Creatinine [Molar ratio] in Urine;glucose in urine
Glucose [Mass/volume] in Urine --1.5 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --2 hours post 100 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --2 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --30 minutes post 100 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --3 hours post 100 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --3 hours post 75 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --4 hours post 100 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --5 hours post 100 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --6 hours post 100 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --6 hours post dose glucose;glucose in urine
Fasting glucose [Mass/volume] in Urine;glucose in urine
Fasting glucose [Moles/volume] in Urine;glucose in urine
Glucose [Mass/volume] in Urine by Automated test strip;glucose in urine
Glucose [Presence] in Urine by Automated test strip;glucose in urine
Glucose [Moles/volume] in Urine by Automated test strip;glucose in urine
Glucose [Presence] in Urine by Test strip --1.5 hours post dose glucose;glucose in urine
Glucose [Mass/volume] in Urine --1 hour post 100 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --1 hour post 50 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --1 hour post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --1 hour post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --2.5 hours post 75 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --2 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --3.5 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --30 minutes post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --3 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --4 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --5 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --6 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine --1st specimen post XXX challenge;glucose in urine
Glucose [Presence] in Urine --2nd specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine --30 minutes post dose lactose PO;glucose in urine
Glucose [Mass/volume] in Urine --3 hours post dose lactose PO;glucose in urine
Glucose [Presence] in Urine --3rd specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine --4 hours post dose lactose PO;glucose in urine
Glucose [Presence] in Urine --4th specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine --5 hours post dose lactose PO;glucose in urine
Glucose [Presence] in Urine --5th specimen post XXX challenge;glucose in urine
Glucose [Presence] in Urine --6th specimen post XXX challenge;glucose in urine
Glucose [Presence] in Urine --7th specimen post XXX challenge;glucose in urine
Glucose [Presence] in Urine --8th specimen post XXX challenge;glucose in urine
Glucose [Presence] in Urine --9th specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine --12 hours fasting;glucose in urine
Fasting glucose [Presence] in Urine by Test strip;glucose in urine
Glucose [Mass/volume] in Urine --1.5 hours post 100 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --1 hour post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --2 hours post 75 g glucose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --4.5 hours post 75 g glucose PO;glucose in urine
Glucose [Mass/volume] in Urine --1 hour post meal;glucose in urine
Glucose [Mass/volume] in Urine --2 hours post dose lactose PO;glucose in urine
Glucose [Mass/volume] in Urine by Test strip --3rd specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine by Test strip --4th specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine by Test strip --5th specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine --6 hours post dose lactose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --1.5 hours post 75 g glucose PO;glucose in urine
Glucose/Creatinine [Ratio] in Urine;glucose in urine
Glucose [Mass/volume] in Urine --1 hour post dose lactose PO;glucose in urine
Glucose [Mass/volume] in Urine by Test strip --1st specimen post XXX challenge;glucose in urine
Glucose [Mass/volume] in Urine by Test strip --2nd specimen post XXX challenge;glucose in urine
Ketones [Mass/volume] in Urine by Test strip --4 hours post dose glucose;glucose in urine
Ketones [Presence] in Urine by Test strip --4 hours post dose glucose;glucose in urine
Ketones [Presence] in Urine by Test strip --3 hours post dose glucose;glucose in urine
Glucose [Presence] in Urine by Test strip --30 minutes post 50 g lactose PO;glucose in urine
Glucose/Creatinine [Mass Ratio] in Urine;glucose in urine
Glucose/Creatinine [Molar ratio] in Urine;glucose in urine
Glucose [Presence] in Urine by Test strip --1 hour post 50 g lactose PO;glucose in urine
Glucose [Presence] in Urine by Test strip --2 hours post 50 g lactose PO;glucose in urine
Glucose screen gestational panel - Urine and Serum or Plasma;glucose in urine
Glucose tolerance gestational panel - Urine and Serum or Plasma;glucose in urine
Ketones [Presence] in Urine by Test strip --1 hour post dose glucose;glucose in urine
Ketones [Mass/volume] in Urine by Test strip --2 hours post dose glucose;glucose in urine
Glucose/Creatinine [Mass Ratio] in 24 hour Urine;glucose in urine
Glucose/Creatinine [Molar ratio] in 24 hour Urine;glucose in urine
Glucose [Presence] in Urine by Test strip --1.5 hours post 50 g lactose PO;glucose in urine
Ketones [Presence] in Urine --1 hour post 50 g glucose PO;glucose in urine
Urate [Moles/volume] in Urine;urate in urine
Ammonium urate crystals [Presence] in Urine sediment by Light microscopy;urate in urine
Deprecated Sodium urate crystals [Presence] in Urine sediment by Light microscopy;urate in urine
Sodium urate crystals [Presence] in Urine sediment by Light microscopy;urate in urine
Urate crystals amorphous [Presence] in Urine sediment by Light microscopy;urate in urine
Urate [Mass or Moles/volume] in Urine;urate in urine
Urate [Mass/volume] in Urine;urate in urine
Urate [Mass/volume] in 12 hour Urine;urate in urine
Urate [Mass/time] in 6 hour Urine;urate in urine
Urate [Mass/time] in 12 hour Urine;urate in urine
Urate [Mass/time] in 18 hour Urine;urate in urine
Ammonium urate crystals [#/area] in Urine sediment by Microscopy high power field;urate in urine
Ammonium urate crystals [#/area] in Urine sediment by Microscopy low power field;urate in urine
Sodium urate crystals [#/area] in Urine sediment by Microscopy high power field;urate in urine
Sodium urate crystals [#/area] in Urine sediment by Microscopy low power field;urate in urine
Urate [Mass/volume] in 2 hour Urine;urate in urine
Urate [Mass/time] in 4 hour Urine;urate in urine
Urate [Moles/volume] in 24 hour Urine;urate in urine
Urate [Mass/volume] in 24 hour Urine;urate in urine
Urate [Mass/time] in 2 hour Urine;urate in urine
Urate [Moles/time] in 24 hour Urine;urate in urine
Urate [Molar amount] in Urine collected for unspecified duration;urate in urine
Urate crystals amorphous [#/area] in Urine sediment by Microscopy high power field;urate in urine
Urate crystals amorphous [#/area] in Urine sediment by Microscopy low power field;urate in urine
Urate crystals amorphous [#/volume] in Urine sediment;urate in urine
Urate crystals amorphous [#/area] in Urine sediment by Computer assisted method;urate in urine
Urate crystals [Presence] in Urine sediment by Light microscopy;urate in urine
Urate crystals [Presence] in Urine sediment by Computer assisted method;urate in urine
Urate [Mass or Moles/volume] in 24 hour Urine;urate in urine
Urate [Mass/time] in 24 hour Urine;urate in urine
Urate [Saturation Fraction] in 24 hour Urine;urate in urine
Sodium urate [Saturation Fraction] in 24 hour Urine;urate in urine
Urate crystals amorphous [#/volume] in Urine sediment by Computer assisted method;urate in urine
Urate crystals [#/area] in Urine sediment by Computer assisted method;urate in urine
Urate crystals [#/area] in Urine sediment by Microscopy high power field;urate in urine
Urate crystals [#/area] in Urine sediment by Microscopy low power field;urate in urine
Ammonium urate crystals [Presence] in Urine by Computer assisted method;urate in urine
Urate crystals amorphous [Presence] in Urine by Computer assisted method;urate in urine
Order;urate in urine
Urate crystals [#/volume] in Urine sediment by Computer assisted method;urate in urine
Urate crystals [#/area] in Urine by Computer assisted method;urate in urine
Urate crystals [Presence] in Urine by Computer assisted method;urate in urine
Urate crystals [#/volume] in Urine by Computer assisted method;urate in urine
Urate renal clearance in 24 hour Urine and Serum or Plasma;urate in urine
Urate renal clearance in Urine and Serum or Plasma collected for unspecified duration;urate in urine
Urate renal clearance/1.73 sq M in Urine and Serum or Plasma collected for unspecified duration;urate in urine
Urate/Creatinine [Molar ratio] in Urine;urate in urine
Urate/Creatinine [Mass Ratio] in Urine;urate in urine
Urate/Creatinine [Mass Ratio] in 24 hour Urine;urate in urine
Urate/Creatinine [Molar ratio] in 24 hour Urine;urate in urine
