text;query
Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;bilirubin in plasma
Glucose [Mass/volume] in Serum, Plasma or Blood;bilirubin in plasma
Glucose [Moles/volume] in Pleural fluid;bilirubin in plasma
Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;bilirubin in plasma
Cortisol [Mass/volume] in Serum or Plasma;bilirubin in plasma
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;bilirubin in plasma
Lymphocytes [#/volume] in Blood;bilirubin in plasma
Tyrosine aminotransferase [Mass/volume] in Plasma;bilirubin in plasma
Bilirubin.total [Mass/volume] in Synovial fluid;bilirubin in plasma
Gentamicin [Susceptibility];bilirubin in plasma
Lymphocytes/100 leukocytes in Blood;bilirubin in plasma
Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;bilirubin in plasma
Glucose [Moles/volume] in Serum or Plasma;bilirubin in plasma
Blood product type;bilirubin in plasma
Monocytes [#/volume] in Blood;bilirubin in plasma
Albumin [Mass/volume] in Serum or Plasma;bilirubin in plasma
Cobalamin (Vitamin B12) [Mass/volume] in Serum;bilirubin in plasma
Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;bilirubin in plasma
Glucose [Moles/volume] in Urine;bilirubin in plasma
Choriogonadotropin [Units/volume] in Serum or Plasma;bilirubin in plasma
Blood product disposition [Type];bilirubin in plasma
Levofloxacin [Susceptibility];bilirubin in plasma
Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma;bilirubin in plasma
Calcium [Moles/volume] corrected for albumin in Serum or Plasma;bilirubin in plasma
Fasting glucose [Mass or Moles/volume] in Serum or Plasma;bilirubin in plasma
Chloride [Moles/volume] in Blood;bilirubin in plasma
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Hematocrit [Volume Fraction] of Blood by Impedance;bilirubin in plasma
Amylase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Chloride [Moles/volume] in Serum or Plasma;bilirubin in plasma
Protein C [Mass/volume] in Plasma;bilirubin in plasma
Trimethoprim+Sulfamethoxazole [Susceptibility];bilirubin in plasma
Calcium bilirubinate/Total in Stone;bilirubin in plasma
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;bilirubin in plasma
Cholesterol in HDL [Mass/volume] in Serum or Plasma;bilirubin in plasma
Calcium.ionized [Moles/volume] in Serum or Plasma;bilirubin in plasma
Bilirubin.total [Presence] in Unspecified specimen;bilirubin in plasma
C reactive protein [Mass/volume] in Serum or Plasma;bilirubin in plasma
Bilirubin.total [Presence] in Unspecified specimen;white blood cells count
Calcium [Moles/volume] corrected for albumin in Serum or Plasma;white blood cells count
Bilirubin.total [Mass/volume] in Synovial fluid;white blood cells count
Other Antibiotic [Susceptibility];white blood cells count
Vancomycin [Susceptibility];white blood cells count
Glucose [Moles/volume] in Serum or Plasma;white blood cells count
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
Cefazolin [Susceptibility];white blood cells count
Hepatitis B virus DNA [#/volume] (viral load) in Serum by Probe with signal amplification;white blood cells count
Albumin [Mass/volume] in Serum or Plasma;white blood cells count
Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;white blood cells count
Glucose [Moles/volume] in Urine;white blood cells count
Fasting glucose [Mass or Moles/volume] in Serum or Plasma;white blood cells count
Cholesterol in HDL [Mass/volume] in Serum or Plasma;white blood cells count
Leukocytes [#/volume] in Blood;white blood cells count
Blood product disposition [Type];white blood cells count
Calcium.ionized [Moles/volume] in Blood;white blood cells count
Amylase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
Bicarbonate [Moles/volume] in Blood;white blood cells count
Bilirubin.total [Mass/volume] in Serum or Plasma;white blood cells count
Gentamicin [Susceptibility];white blood cells count
ABO group [Type] in Blood from Blood product unit;white blood cells count
Blood product unit ID [#];white blood cells count
Protein C [Mass/volume] in Plasma;white blood cells count
Chloride [Moles/volume] in Blood;white blood cells count
Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma;white blood cells count
Calcium [Mass/volume] in Serum or Plasma;white blood cells count
Chloride [Moles/volume] in Serum or Plasma;white blood cells count
Blood product type;white blood cells count
Cobalamin (Vitamin B12) [Mass/volume] in Serum;white blood cells count
Choriogonadotropin [Units/volume] in Serum or Plasma;white blood cells count
Lymphocytes/100 leukocytes in Blood;white blood cells count
Glucose [Moles/volume] in Pleural fluid;white blood cells count
Carbon dioxide, total [Moles/volume] in Blood;white blood cells count
Carbon dioxide, total [Moles/volume] in Serum or Plasma;white blood cells count
Nitrofurantoin [Susceptibility];white blood cells count
Cholesterol [Mass/volume] in Serum or Plasma;white blood cells count
Trimethoprim+Sulfamethoxazole [Susceptibility];white blood cells count
Blood group antibody screen [Presence] in Serum or Plasma;white blood cells count
Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;white blood cells count
Cortisol [Mass/volume] in Serum or Plasma;white blood cells count
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;white blood cells count
Bilirubin.indirect [Mass/volume] in Serum or Plasma;white blood cells count
Ciprofloxacin [Susceptibility];white blood cells count
Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
C reactive protein [Mass/volume] in Serum or Plasma;white blood cells count
Glucose [Mass/volume] in Serum, Plasma or Blood;white blood cells count
Calcium.ionized [Moles/volume] in Serum or Plasma;white blood cells count
Albumin/Globulin [Mass ratio] in Serum or Plasma;white blood cells count
Levofloxacin [Susceptibility];white blood cells count
Bilirubin.direct [Mass/volume] in Serum or Plasma;white blood cells count
Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma;white blood cells count
ABO group [Type] in Blood;white blood cells count
Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;white blood cells count
Calcium bilirubinate/Total in Stone;white blood cells count
Tyrosine aminotransferase [Mass/volume] in Plasma;white blood cells count
C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;white blood cells count
Rh [Type] in Blood;white blood cells count
Lymphocytes [#/volume] in Blood;white blood cells count
Body temperature;white blood cells count
Hematocrit [Volume Fraction] of Blood by Impedance;white blood cells count
ABO & Rh group [Type] in Blood;white blood cells count
Monocytes [#/volume] in Blood;white blood cells count
Major crossmatch [interpretation];white blood cells count
Ampicillin [Susceptibility];white blood cells count
Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;white blood cells count
Ampicillin+Sulbactam [Susceptibility];white blood cells count
